"filename", "language", "Python", "XML", "comment", "blank", "total"
"/home/maxibonng/Desktop/story games/The Night/.idea/8 bit game.iml", "XML", 0, 8, 0, 0, 8
"/home/maxibonng/Desktop/story games/The Night/.idea/inspectionProfiles/Project_Default.xml", "XML", 0, 20, 0, 0, 20
"/home/maxibonng/Desktop/story games/The Night/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 6, 0, 0, 6
"/home/maxibonng/Desktop/story games/The Night/.idea/misc.xml", "XML", 0, 7, 0, 0, 7
"/home/maxibonng/Desktop/story games/The Night/.idea/modules.xml", "XML", 0, 8, 0, 0, 8
"/home/maxibonng/Desktop/story games/The Night/.idea/vcs.xml", "XML", 0, 6, 0, 0, 6
"/home/maxibonng/Desktop/story games/The Night/The_night.py", "Python", 189, 0, 21, 45, 255
"/home/maxibonng/Desktop/story games/The Night/choice_tree.py", "Python", 110, 0, 1, 29, 140
"/home/maxibonng/Desktop/story games/The Night/log.py", "Python", 21, 0, 0, 4, 25
"/home/maxibonng/Desktop/story games/The Night/save_load.py", "Python", 10, 0, 0, 5, 15
"/home/maxibonng/Desktop/story games/The Night/short_cut.py", "Python", 17, 0, 0, 5, 22
"/home/maxibonng/Desktop/story games/The Night/story_functions.py", "Python", 262, 0, 18, 62, 342
"Total", "-", 609, 55, 40, 150, 854
